"","item_id_1","subj_id_1","sigma_1","T_0s_1","T_1s_1","SC_1","category_1","group_1","O_0i_1","RT_1","zRT_1","zSC_1","item_id_2","subj_id_2","sigma_2","T_0s_2","T_1s_2","SC_2","category_2","group_2","O_0i_2","RT_2","zRT_2","zSC_2"
"1",1,1,-87.3813458235368,-7.47288485771734,4.7465422900062,-0.911245922214742,"ingroup",-1,-25.1385356760378,611.822964824166,-0.848918193812745,-0.955214545351457,1,1,-87.3813458235368,-8.04464679180491,-0.823357056638546,-0.911245922214742,"ingroup",-1,-25.1385356760378,621.8966503035,-0.834727286570904,-0.955214545351457
"2",1,83,63.2148728290901,114.490707249224,-16.6911409311486,-0.14881670221757,"ingroup",-1,-25.1385356760378,920.253938860872,0.411835392016332,-0.141818445481194,1,83,63.2148728290901,116.611458019243,34.650406066247,-0.14881670221757,"ingroup",-1,-25.1385356760378,863.392662922595,0.157011726777698,-0.141818445481194
"3",1,3,172.722851915451,32.2568397294491,12.2032852787578,-0.664263336053009,"ingroup",-1,-25.1385356760378,902.8890423395,0.340854014010293,-0.691721663585238,1,3,172.722851915451,30.8511235331702,16.4113745297403,-0.664263336053009,"ingroup",-1,-25.1385356760378,894.479957487972,0.284676289457551,-0.691721663585238
"4",1,100,581.730754678381,49.6015161613064,22.5262945201749,0.676780195229195,"ingroup",-1,-25.1385356760378,1355.68059259892,2.19170110355953,0.738967965683215,1,100,581.730754678381,46.9942602642454,26.7151128788145,0.676780195229195,"ingroup",-1,-25.1385356760378,1351.71942764976,2.16239764843304,0.738967965683215
"5",1,30,-3.18359240766288,-32.3430613487758,61.7130720682865,0.142768471054265,"ingroup",-1,-25.1385356760378,637.860104153031,-0.742487842982642,0.169258617803691,1,30,-3.18359240766288,-39.6959898093036,12.628091768366,0.142768471054265,"ingroup",-1,-25.1385356760378,672.584368403275,-0.626570692215655,0.169258617803691
"6",1,57,75.4378203556645,25.3361506654605,47.9480891043743,0.107652984252221,"ingroup",-1,-25.1385356760378,783.925630964512,-0.145425121676081,0.131795730416014,1,57,75.4378203556645,19.686299345026,27.9780806066441,0.107652984252221,"ingroup",-1,-25.1385356760378,796.095957131485,-0.119352126517696,0.131795730416014
"7",1,71,-165.778347783191,99.7499146538558,67.6935454989452,-0.674790673078588,"ingroup",-1,-25.1385356760378,538.712605834587,-1.14776673697623,-0.702952732193361,1,71,-165.778347783191,91.8533013465313,62.5315383371884,-0.674790673078588,"ingroup",-1,-25.1385356760378,539.461273976138,-1.17326032443463,-0.702952732193361
"8",1,49,211.526580300634,104.853396660882,14.9887742795956,0.122876417838631,"ingroup",-1,-25.1385356760378,1029.32319807554,0.857670834089174,0.148036820317928,1,49,211.526580300634,103.208278791443,43.6404944058056,0.122876417838631,"ingroup",-1,-25.1385356760378,1002.54698081391,0.728469468179021,0.148036820317928
"9",1,8,93.6074769783847,0.0599188688299205,-9.7931470045362,0.612266516963624,"ingroup",-1,-25.1385356760378,828.448656338769,0.0365688044134337,0.670141676090464,1,8,93.6074769783847,1.22040856539171,-3.82996905876723,0.612266516963624,"ingroup",-1,-25.1385356760378,827.297022280452,0.00877965185277372,0.670141676090464
"10",1,61,420.938376937455,-97.3769789597785,24.5978731926281,-0.056539378901686,"ingroup",-1,-25.1385356760378,1021.86884684738,0.827200158858575,-0.0433725662795992,1,61,420.938376937455,-100.413247038288,-25.3801010409609,-0.056539378901686,"ingroup",-1,-25.1385356760378,1071.63627662439,1.01219485692118,-0.0433725662795992
"11",1,9,6.42714336827081,90.5961592650566,-2.76639312058165,0.90017978604902,"ingroup",-1,-25.1385356760378,831.162706770949,0.047662854954818,0.977301375683074,1,9,6.42714336827081,91.0370919687843,31.5251979807059,0.90017978604902,"ingroup",-1,-25.1385356760378,828.180645514226,0.0124083810584084,0.977301375683074
"12",1,27,199.744934294244,134.474991397778,80.7960529510822,1.43176452317382,"ingroup",-1,-25.1385356760378,1108.28390452447,1.18043346876297,1.54442149724593,1,27,199.744934294244,125.069193088675,80.1850936842777,1.43176452317382,"ingroup",-1,-25.1385356760378,1098.61431567886,1.1229841554433,1.54442149724593
